timestamp,symbol,bid,ask,size
2025-01-06 09:30:00,AAPL,103.7992,103.8188,969
2025-01-06 09:30:01,AAPL,103.7667,103.7761,2633
2025-01-06 09:30:02,AAPL,103.7531,103.7581,3289
2025-01-06 09:30:03,AAPL,103.7746,103.7804,8633
2025-01-06 09:30:04,AAPL,103.7617,103.7684,8005
2025-01-06 09:30:05,AAPL,103.7351,103.7532,3946
2025-01-06 09:30:06,AAPL,103.7521,103.7584,8554
2025-01-06 09:30:07,AAPL,103.7598,103.7703,9403
2025-01-06 09:30:08,AAPL,103.7149,103.7294,307
2025-01-06 09:30:09,AAPL,103.6902,103.6967,5519
2025-01-06 09:30:10,AAPL,103.7007,103.707,6473
2025-01-06 09:30:11,AAPL,103.7202,103.7294,5487
2025-01-06 09:30:12,AAPL,103.6824,103.6921,4627
2025-01-06 09:30:13,AAPL,103.6601,103.6869,8275
2025-01-06 09:30:14,AAPL,103.6755,103.6809,5135
2025-01-06 09:30:15,AAPL,103.6447,103.6599,4068
2025-01-06 09:30:16,AAPL,103.674,103.6908,8289
2025-01-06 09:30:17,AAPL,103.675,103.6984,4768
2025-01-06 09:30:18,AAPL,103.674,103.6963,2094
2025-01-06 09:30:19,AAPL,103.6785,103.6866,2358
2025-01-06 09:30:20,AAPL,103.7006,103.7073,3688
2025-01-06 09:30:21,AAPL,103.7254,103.7314,8808
2025-01-06 09:30:22,AAPL,103.7154,103.7374,4190
2025-01-06 09:30:23,AAPL,103.7143,103.7394,247
2025-01-06 09:30:24,AAPL,103.7187,103.7406,2288
2025-01-06 09:30:25,AAPL,103.7221,103.7415,7706
2025-01-06 09:30:26,AAPL,103.722,103.7413,6054
2025-01-06 09:30:27,AAPL,103.7469,103.758,6723
2025-01-06 09:30:28,AAPL,103.7306,103.7488,5502
2025-01-06 09:30:29,AAPL,103.7244,103.7472,1761
2025-01-06 09:30:30,AAPL,103.754,103.7623,283
2025-01-06 09:30:31,AAPL,103.6856,103.6956,4231
2025-01-06 09:30:32,AAPL,103.6613,103.6669,6279
2025-01-06 09:30:33,AAPL,103.6478,103.6652,6094
2025-01-06 09:30:34,AAPL,103.662,103.6788,4307
2025-01-06 09:30:35,AAPL,103.665,103.6841,6592
2025-01-06 09:30:36,AAPL,103.6789,103.6896,340
2025-01-06 09:30:37,AAPL,103.651,103.6567,9156
2025-01-06 09:30:38,AAPL,103.6331,103.6434,1056
2025-01-06 09:30:39,AAPL,103.6494,103.6568,2674
2025-01-06 09:30:40,AAPL,103.6255,103.6335,3628
2025-01-06 09:30:41,AAPL,103.6215,103.6311,6622
2025-01-06 09:30:42,AAPL,103.6239,103.6523,1422
2025-01-06 09:30:43,AAPL,103.6339,103.6432,8418
2025-01-06 09:30:44,AAPL,103.6058,103.6142,8253
2025-01-06 09:30:45,AAPL,103.6369,103.6443,1569
2025-01-06 09:30:46,AAPL,103.656,103.6638,609
2025-01-06 09:30:47,AAPL,103.6464,103.6618,1151
2025-01-06 09:30:48,AAPL,103.6863,103.6961,7708
2025-01-06 09:30:49,AAPL,103.6772,103.6843,7286
2025-01-06 09:30:50,AAPL,103.6851,103.6993,7203
2025-01-06 09:30:51,AAPL,103.7358,103.7571,2525
2025-01-06 09:30:52,AAPL,103.7828,103.7888,3987
2025-01-06 09:30:53,AAPL,103.7559,103.766,1793
2025-01-06 09:30:54,AAPL,103.7488,103.7683,8502
2025-01-06 09:30:55,AAPL,103.7579,103.7644,6627
2025-01-06 09:30:56,AAPL,103.7499,103.7729,7624
2025-01-06 09:30:57,AAPL,103.7838,103.8009,8247
2025-01-06 09:30:58,AAPL,103.8212,103.8474,5570
2025-01-06 09:30:59,AAPL,103.7969,103.8095,9150
2025-01-06 09:31:00,AAPL,103.7902,103.8047,9261
2025-01-06 09:31:01,AAPL,103.7903,103.8009,7646
2025-01-06 09:31:02,AAPL,103.7704,103.7786,1264
2025-01-06 09:31:03,AAPL,103.776,103.7921,5435
2025-01-06 09:31:04,AAPL,103.7651,103.7796,1991
2025-01-06 09:31:05,AAPL,103.7525,103.7594,3261
2025-01-06 09:31:06,AAPL,103.7564,103.7681,6320
2025-01-06 09:31:07,AAPL,103.7482,103.7571,8676
2025-01-06 09:31:08,AAPL,103.7368,103.761,2874
2025-01-06 09:31:09,AAPL,103.7915,103.7989,2541
2025-01-06 09:31:10,AAPL,103.7818,103.7982,5055
2025-01-06 09:31:11,AAPL,103.7551,103.7706,8579
2025-01-06 09:31:12,AAPL,103.7558,103.763,546
2025-01-06 09:31:13,AAPL,103.7903,103.7991,7396
2025-01-06 09:31:14,AAPL,103.7883,103.794,5932
2025-01-06 09:31:15,AAPL,103.8131,103.8354,9186
2025-01-06 09:31:16,AAPL,103.783,103.7982,6943
2025-01-06 09:31:17,AAPL,103.7638,103.773,5158
2025-01-06 09:31:18,AAPL,103.7819,103.7901,1115
2025-01-06 09:31:19,AAPL,103.8084,103.823,6870
2025-01-06 09:31:20,AAPL,103.8035,103.8102,2263
2025-01-06 09:31:21,AAPL,103.8006,103.8098,2757
2025-01-06 09:31:22,AAPL,103.813,103.821,8585
2025-01-06 09:31:23,AAPL,103.8034,103.812,9767
2025-01-06 09:31:24,AAPL,103.7996,103.8085,1876
2025-01-06 09:31:25,AAPL,103.7947,103.8056,2924
2025-01-06 09:31:26,AAPL,103.7935,103.8075,1617
2025-01-06 09:31:27,AAPL,103.7938,103.8031,6864
2025-01-06 09:31:28,AAPL,103.8063,103.8216,1153
2025-01-06 09:31:29,AAPL,103.8162,103.8439,9384
2025-01-06 09:31:30,AAPL,103.8254,103.8353,9240
2025-01-06 09:31:31,AAPL,103.849,103.8575,7305
2025-01-06 09:31:32,AAPL,103.8541,103.8656,5181
2025-01-06 09:31:33,AAPL,103.8486,103.8594,9076
2025-01-06 09:31:34,AAPL,103.8321,103.8577,732
2025-01-06 09:31:35,AAPL,103.8512,103.868,4291
2025-01-06 09:31:36,AAPL,103.8515,103.8623,2864
2025-01-06 09:31:37,AAPL,103.8499,103.8572,7136
2025-01-06 09:31:38,AAPL,103.8352,103.8436,8876
2025-01-06 09:31:39,AAPL,103.8225,103.8375,1064
2025-01-06 09:31:40,AAPL,103.8161,103.8218,9642
2025-01-06 09:31:41,AAPL,103.8048,103.8129,4559
2025-01-06 09:31:42,AAPL,103.8089,103.8174,2108
2025-01-06 09:31:43,AAPL,103.8058,103.8217,2038
2025-01-06 09:31:44,AAPL,103.8202,103.8406,1848
2025-01-06 09:31:45,AAPL,103.8389,103.8499,5646
2025-01-06 09:31:46,AAPL,103.8605,103.8714,8777
2025-01-06 09:31:47,AAPL,103.8546,103.8708,7987
2025-01-06 09:31:48,AAPL,103.8685,103.8743,1501
2025-01-06 09:31:49,AAPL,103.8614,103.8682,6880
2025-01-06 09:31:50,AAPL,103.8258,103.8331,1280
2025-01-06 09:31:51,AAPL,103.8195,103.832,9967
2025-01-06 09:31:52,AAPL,103.8444,103.8627,5276
2025-01-06 09:31:53,AAPL,103.8605,103.8664,8685
2025-01-06 09:31:54,AAPL,103.8474,103.8627,868
2025-01-06 09:31:55,AAPL,103.8508,103.8589,1590
2025-01-06 09:31:56,AAPL,103.8829,103.894,8465
2025-01-06 09:31:57,AAPL,103.8836,103.8964,7961
2025-01-06 09:31:58,AAPL,103.8789,103.8841,4266
2025-01-06 09:31:59,AAPL,103.8341,103.8414,94
2025-01-06 09:32:00,AAPL,103.8358,103.8483,4626
2025-01-06 09:32:01,AAPL,103.8289,103.8593,4889
2025-01-06 09:32:02,AAPL,103.8527,103.8584,9232
2025-01-06 09:32:03,AAPL,103.8543,103.8604,9036
2025-01-06 09:32:04,AAPL,103.8468,103.8657,549
2025-01-06 09:32:05,AAPL,103.8253,103.8468,9980
2025-01-06 09:32:06,AAPL,103.8096,103.8262,6263
2025-01-06 09:32:07,AAPL,103.8152,103.8252,6771
2025-01-06 09:32:08,AAPL,103.7996,103.8172,7929
2025-01-06 09:32:09,AAPL,103.7854,103.8017,3351
2025-01-06 09:32:10,AAPL,103.7845,103.8025,2427
2025-01-06 09:32:11,AAPL,103.7916,103.811,3977
2025-01-06 09:32:12,AAPL,103.8117,103.8169,373
2025-01-06 09:32:13,AAPL,103.7795,103.8002,2680
2025-01-06 09:32:14,AAPL,103.7619,103.7728,3124
2025-01-06 09:32:15,AAPL,103.7663,103.7762,5399
2025-01-06 09:32:16,AAPL,103.763,103.787,7943
2025-01-06 09:32:17,AAPL,103.7545,103.7636,2817
2025-01-06 09:32:18,AAPL,103.7503,103.7581,1502
2025-01-06 09:32:19,AAPL,103.7466,103.7623,9035
2025-01-06 09:32:20,AAPL,103.744,103.7569,323
2025-01-06 09:32:21,AAPL,103.7589,103.7702,4990
2025-01-06 09:32:22,AAPL,103.7581,103.7651,8966
2025-01-06 09:32:23,AAPL,103.7621,103.77,4014
2025-01-06 09:32:24,AAPL,103.7412,103.7684,3382
2025-01-06 09:32:25,AAPL,103.7549,103.7699,6452
2025-01-06 09:32:26,AAPL,103.7862,103.7918,7623
2025-01-06 09:32:27,AAPL,103.7922,103.8084,6826
2025-01-06 09:32:28,AAPL,103.7915,103.8084,3153
2025-01-06 09:32:29,AAPL,103.8017,103.8076,7040
2025-01-06 09:32:30,AAPL,103.7686,103.7771,4279
2025-01-06 09:32:31,AAPL,103.754,103.7827,100
2025-01-06 09:32:32,AAPL,103.7426,103.7495,3592
2025-01-06 09:32:33,AAPL,103.751,103.7573,3545
2025-01-06 09:32:34,AAPL,103.743,103.7493,438
2025-01-06 09:32:35,AAPL,103.7059,103.7176,7690
2025-01-06 09:32:36,AAPL,103.6708,103.6922,9708
2025-01-06 09:32:37,AAPL,103.6223,103.6382,5611
2025-01-06 09:32:38,AAPL,103.6226,103.6355,327
2025-01-06 09:32:39,AAPL,103.6273,103.6323,516
2025-01-06 09:32:40,AAPL,103.5955,103.6018,9669
2025-01-06 09:32:41,AAPL,103.585,103.5971,3613
2025-01-06 09:32:42,AAPL,103.6001,103.6093,3543
2025-01-06 09:32:43,AAPL,103.5779,103.5982,2000
2025-01-06 09:32:44,AAPL,103.5995,103.6054,9715
2025-01-06 09:32:45,AAPL,103.5934,103.6046,1713
2025-01-06 09:32:46,AAPL,103.5925,103.6251,6999
2025-01-06 09:32:47,AAPL,103.5884,103.5959,2002
